ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,BinsMinValue.u64,BinsMaxValue.u64,BinWidth.u32,TotalNumBins.u32,Sum.u64,SumSQ.u64,NumActiveBins.u32,NumItemsCollected.u64,NumItemsBinned.u64,NumOutOfBounds-MinValue.u64,NumOutOfBounds-MaxValue.u64,Bin0:0-0.u64,Bin1:1-1.u64,Bin2:2-2.u64,Bin3:3-3.u64,Bin4:4-4.u64,Bin5:5-5.u64,Bin6:6-6.u64,Bin7:7-7.u64,Bin8:8-8.u64,Bin9:9-9.u64,Bin10:10-10.u64,Bin11:11-11.u64,Bin12:12-12.u64,Bin13:13-13.u64,Bin14:14-14.u64,Bin15:15-15.u64,Bin16:16-16.u64,Bin17:17-17.u64,Bin18:18-18.u64,Bin19:19-19.u64,Bin20:20-20.u64,Bin21:21-21.u64,Bin22:22-22.u64,Bin23:23-23.u64,Bin24:24-24.u64,Bin25:25-25.u64,Bin26:26-26.u64,Bin27:27-27.u64,Bin28:28-28.u64,Bin29:29-29.u64,Bin30:30-30.u64,Bin31:31-31.u64,Bin32:32-32.u64,Bin33:33-33.u64,Bin34:34-34.u64,Bin35:35-35.u64,Bin36:36-36.u64,Bin37:37-37.u64,Bin38:38-38.u64,Bin39:39-39.u64,Bin40:40-40.u64,Bin41:41-41.u64,Bin42:42-42.u64,Bin43:43-43.u64,Bin44:44-44.u64,Bin45:45-45.u64,Bin46:46-46.u64,Bin47:47-47.u64,Bin48:48-48.u64,Bin49:49-49.u64,Bin50:50-50.u64,Bin51:51-51.u64,Bin52:52-52.u64,Bin53:53-53.u64,Bin54:54-54.u64,Bin55:55-55.u64,Bin56:56-56.u64,Bin57:57-57.u64,Bin58:58-58.u64,Bin59:59-59.u64,Bin60:60-60.u64,Bin61:61-61.u64,Bin62:62-62.u64,Bin63:63-63.u64,Count.u64,Min.u64,Max.u64,Bin0:0-63.u64,Bin1:64-127.u64,Bin2:128-191.u64,Bin3:192-255.u64,Bin4:256-319.u64,Bin5:320-383.u64,Bin6:384-447.u64,Bin7:448-511.u64,Bin8:512-575.u64,Bin9:576-639.u64,Bin10:640-703.u64,Bin11:704-767.u64,Bin12:768-831.u64,Bin13:832-895.u64,Bin14:896-959.u64,Bin15:960-1023.u64,Bin16:1024-1087.u64,Bin17:1088-1151.u64,Bin18:1152-1215.u64,Bin19:1216-1279.u64,Bin20:1280-1343.u64,Bin21:1344-1407.u64,Bin22:1408-1471.u64,Bin23:1472-1535.u64,Bin24:1536-1599.u64,Bin25:1600-1663.u64,Bin26:1664-1727.u64,Bin27:1728-1791.u64,Bin28:1792-1855.u64,Bin29:1856-1919.u64,Bin30:1920-1983.u64,Bin31:1984-2047.u64,Sum.f64,SumSQ.f64,Min.f64,Max.f64,Bin0:0-3.u64,Bin1:4-7.u64,Bin2:8-11.u64,Bin3:12-15.u64,Bin4:16-19.u64,Bin5:20-23.u64,Bin6:24-27.u64,Bin7:28-31.u64,Bin8:32-35.u64,Bin9:36-39.u64,Bin10:40-43.u64,Bin11:44-47.u64,Bin12:48-51.u64,Bin13:52-55.u64,Bin14:56-59.u64,Bin15:60-63.u64,Bin16:64-67.u64,Bin17:68-71.u64,Bin18:72-75.u64,Bin19:76-79.u64,Bin20:80-83.u64,Bin21:84-87.u64,Bin22:88-91.u64,Bin23:92-95.u64,Bin24:96-99.u64,Bin25:100-103.u64,Bin26:104-107.u64,Bin27:108-111.u64,Bin28:112-115.u64,Bin29:116-119.u64,Bin30:120-123.u64,Bin31:124-127.u64,Bin32:128-131.u64,Bin33:132-135.u64,Bin34:136-139.u64,Bin35:140-143.u64,Bin36:144-147.u64,Bin37:148-151.u64,Bin38:152-155.u64,Bin39:156-159.u64,Bin40:160-163.u64,Bin41:164-167.u64,Bin42:168-171.u64,Bin43:172-175.u64,Bin44:176-179.u64,Bin45:180-183.u64,Bin46:184-187.u64,Bin47:188-191.u64,Bin48:192-195.u64,Bin49:196-199.u64,Bin50:200-203.u64,Bin51:204-207.u64,Bin52:208-211.u64,Bin53:212-215.u64,Bin54:216-219.u64,Bin55:220-223.u64,Bin56:224-227.u64,Bin57:228-231.u64,Bin58:232-235.u64,Bin59:236-239.u64,Bin60:240-243.u64,Bin61:244-247.u64,Bin62:248-251.u64,Bin63:252-255.u64,Bin64:256-259.u64,Bin65:260-263.u64,Bin66:264-267.u64,Bin67:268-271.u64,Bin68:272-275.u64,Bin69:276-279.u64,Bin70:280-283.u64,Bin71:284-287.u64,Bin72:288-291.u64,Bin73:292-295.u64,Bin74:296-299.u64,Bin75:300-303.u64,Bin76:304-307.u64,Bin77:308-311.u64,Bin78:312-315.u64,Bin79:316-319.u64,Bin80:320-323.u64,Bin81:324-327.u64,Bin82:328-331.u64,Bin83:332-335.u64,Bin84:336-339.u64,Bin85:340-343.u64,Bin86:344-347.u64,Bin87:348-351.u64,Bin88:352-355.u64,Bin89:356-359.u64,Bin90:360-363.u64,Bin91:364-367.u64,Bin92:368-371.u64,Bin93:372-375.u64,Bin94:376-379.u64,Bin95:380-383.u64,Bin96:384-387.u64,Bin97:388-391.u64,Bin98:392-395.u64,Bin99:396-399.u64,Bin100:400-403.u64,Bin101:404-407.u64,Bin102:408-411.u64,Bin103:412-415.u64,Bin104:416-419.u64,Bin105:420-423.u64,Bin106:424-427.u64,Bin107:428-431.u64,Bin108:432-435.u64,Bin109:436-439.u64,Bin110:440-443.u64,Bin111:444-447.u64,Bin112:448-451.u64,Bin113:452-455.u64,Bin114:456-459.u64,Bin115:460-463.u64,Bin116:464-467.u64,Bin117:468-471.u64,Bin118:472-475.u64,Bin119:476-479.u64,Bin120:480-483.u64,Bin121:484-487.u64,Bin122:488-491.u64,Bin123:492-495.u64,Bin124:496-499.u64,Bin125:500-503.u64,Bin126:504-507.u64,Bin127:508-511.u64
pe0_core12_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2919710,113013494,64,4000000,5379,0,3903973,6178,1001,249,460,891,252,217,360,340,319,433,1279,644,215,453,615,12797,738,1097,367,354,767,774,466,436,312,314,431,476,367,566,594,29395,1304,360,448,776,513,272,352,408,361,338,1216,960,1246,448,632,13081,448,704,488,672,904,808,584,1363,327,377,488,511,321,557,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_l2,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2016,85344,64,3999999,66,0,3999507,429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_weight_loader,weight_bytes_written_total,,Accumulator,2000000000,0,0,0,0,0,1124,141072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_weight_loader,weight_write_chunks_total,,Accumulator,2000000000,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_weight_loader,weight_write_chunk_bytes,,Histogram,2000000000,0,0,2047,64,32,1124,141072,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_weight_loader,weight_write_latency_cycles,,Histogram,2000000000,0,0,2047,64,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_weight_loader,weight_write_total_cycles,,Accumulator,2000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,total_spikes_processed,,Accumulator,2000000000,0,0,0,0,0,7999,7999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,inter_core_messages,,Accumulator,2000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,memory_requests,,Accumulator,2000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,avg_core_utilization,,Accumulator,2000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,total_neurons_fired,,Accumulator,2000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,external_spikes_sent,,Accumulator,2000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,external_spikes_received,,Accumulator,2000000000,0,0,0,0,0,7999,7999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,mem_read_latency_cycles,,Histogram,2000000000,0,0,511,4,128,22287,8030227,38,465559,65,0,465494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,6,1,0,0,1,0,0,1,0,1,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
multicore_pe_0,mem_read_latency_cycles_weights,,Histogram,2000000000,0,0,511,4,128,22287,8030227,38,465559,65,0,465494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,6,1,0,0,1,0,0,1,0,1,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
multicore_pe_0,mem_read_latency_cycles_state,,Histogram,2000000000,0,0,511,4,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,mem_req_size_bytes,,Histogram,2000000000,0,0,2047,64,32,31457280,2013265920,1,491520,491520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,mem_outstanding_at_issue,,Histogram,2000000000,0,0,63,1,64,483840,20482560,63,491520,15120,0,476400,0,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core8_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2680723,100400937,64,4000000,5328,0,3907020,6173,436,785,1140,707,777,1731,497,741,219,322,848,289,300,495,1421,10778,968,1118,416,1197,424,605,214,265,215,932,279,410,580,299,1588,28221,391,952,1250,865,237,944,253,686,362,320,458,399,284,506,708,11142,767,1220,426,1086,871,472,217,260,259,273,557,430,350,380,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core14_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2754445,109372413,64,4000000,5367,0,3910429,6176,770,626,415,1179,480,664,304,314,705,365,353,551,273,318,676,9513,626,1074,328,279,617,272,926,1646,433,567,289,429,339,353,318,26341,907,438,404,2108,389,303,295,271,669,323,376,649,356,354,1212,10746,873,1117,338,366,746,351,1209,1591,393,662,409,608,1244,408,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
