row_family,surface_label,surface_index,source_path,case_id,memory_kind,memory_model_family,memory_requests_total,total_service_deficit,real_home_traffic_signal_level,real_home_traffic_signal_rank,runtime_alignment_evaluable,runtime_pressure_transfer_kind,semantic_addressing_enabled,traffic_runtime_enabled,home_access_pressure_enabled,home_stack_controller_proxy_available,real_controller_pressure_available_from_summary,processing_runtime_mode,dominant_home_access_class,runtime_controller_home_access_class,same_stack_overlap,same_controller_overlap,same_class_overlap,home_region_joint_attribution,compare_kind,base_case_id,compare_case_id,memory_requests_total_delta,total_service_deficit_delta,base_signal_level,compare_signal_level,base_transfer_kind,compare_transfer_kind,real_home_traffic_signal_rank_delta,reference_surface_label,compare_surface_label,signal_level_from,signal_level_to,signal_rank_delta,signal_rank_drop,transfer_kind_from,transfer_kind_to,transfer_kind_changed,runtime_alignment_evaluable_from,runtime_alignment_evaluable_to,runtime_alignment_degraded,controller_proxy_available_from,controller_proxy_available_to,memory_requests_total_from,memory_requests_total_to,total_service_deficit_from,total_service_deficit_to,dominant_home_access_class_from,dominant_home_access_class_to,home_region_joint_attribution_from,home_region_joint_attribution_to,transition_kind,stop_window_row_count,aligned_stop_count,earliest_aligned_stop_at,first_stop_at,last_stop_at,initial_compare_transfer_kind,final_compare_transfer_kind,initial_compare_same_controller_overlap,final_compare_same_controller_overlap,max_same_controller_overlap_delta,max_steps_completed_delta,convergence_detected,stop_at,steps_completed_delta,base_same_controller_overlap,compare_same_controller_overlap,same_controller_overlap_delta
surface_case,codesign_single_20us_20260322,1,/home/xgy/remote/snn3dexp/analysis/codesign_surface/codesign_single_20us_20260322_same_tag_real_home_flow/memory_nmc_codesign_surface_summary.json,full_3d_runtime_adaptive,hbm_like,hbm_like,58560,90726,home_pressure,3,False,unevaluable,True,True,True,False,False,traffic_semantic,same_xy_cross_tier,,False,False,False,same_xy_cross_tier:stream_region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_case,codesign_single_20us_20260322,1,/home/xgy/remote/snn3dexp/analysis/codesign_surface/codesign_single_20us_20260322_same_tag_real_home_flow/memory_nmc_codesign_surface_summary.json,full_3d_tile_bundle_v3,hbm_like,hbm_like,58560,298248,home_pressure,3,False,unevaluable,True,True,True,False,False,traffic_semantic,same_xy_cross_tier,,False,False,False,same_xy_cross_tier:stream_region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_case,codesign_single_20us_20260322,1,/home/xgy/remote/snn3dexp/analysis/codesign_surface/codesign_single_20us_20260322_same_tag_real_home_flow/memory_nmc_codesign_surface_summary.json,noc_only_3d_bundle_fault_v3,legacy_per_pe,legacy_per_pe,0,0,synthetic_or_unknown,0,False,unevaluable,False,False,False,False,False,generic_processing,,,False,False,False,:metadata_lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_case,perf_20us,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_real_home_flow/memory_nmc_codesign_surface_summary.json,full_3d,hbm_like,hbm_like,58560,90726,home_pressure,3,False,unevaluable,True,True,True,False,False,,remote_home,,False,False,False,remote_home:stream_region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_case,perf_20us,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_real_home_flow/memory_nmc_codesign_surface_summary.json,full_3d_monolithic_proxy,monolithic_like,monolithic_like,159744,40128,home_pressure,3,False,unevaluable,True,True,True,False,False,,same_xy_cross_tier,,False,False,False,same_xy_cross_tier:synapse_gather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_case,perf_20us,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_real_home_flow/memory_nmc_codesign_surface_summary.json,full_3d_tile_bundle_v3,hbm_like,hbm_like,58560,298248,home_pressure,3,False,unevaluable,True,True,True,False,False,,same_xy_cross_tier,,False,False,False,same_xy_cross_tier:stream_region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_compare,controller_runtime_refresh_20260322,0,/home/xgy/remote/snn3dexp/analysis/codesign_surface/controller_runtime_refresh_20260322_windowed_snapshot_real_home_flow/memory_nmc_codesign_surface_summary.json,,,,,,,,,,,,,,,,,,,,,,traffic_mem_bundle_vs_direct,full_3d,full_3d_tile_bundle_v3,200,5275,runtime_controller,runtime_controller,runtime_class_unresolved,runtime_class_unresolved,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_compare,controller_runtime_refresh_20260322,0,/home/xgy/remote/snn3dexp/analysis/codesign_surface/controller_runtime_refresh_20260322_windowed_snapshot_real_home_flow/memory_nmc_codesign_surface_summary.json,,,,,,,,,,,,,,,,,,,,,,traffic_mem_monolithic_vs_hbm,full_3d,full_3d_monolithic_proxy,3076,-1537,runtime_controller,runtime_controller,runtime_class_unresolved,cross_class_transfer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_compare,codesign_single_20us_20260322,1,/home/xgy/remote/snn3dexp/analysis/codesign_surface/codesign_single_20us_20260322_same_tag_real_home_flow/memory_nmc_codesign_surface_summary.json,,,,,,,,,,,,,,,,,,,,,,traffic_mem_bundle_vs_direct,full_3d,full_3d_tile_bundle_v3,0,207522,home_pressure,home_pressure,unevaluable,unevaluable,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_compare,codesign_single_20us_20260322,1,/home/xgy/remote/snn3dexp/analysis/codesign_surface/codesign_single_20us_20260322_same_tag_real_home_flow/memory_nmc_codesign_surface_summary.json,,,,,,,,,,,,,,,,,,,,,,traffic_mem_monolithic_vs_hbm,full_3d,full_3d_monolithic_proxy,101184,-50598,home_pressure,home_pressure,unevaluable,unevaluable,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
